avg_sentence_length,avg_word_length,lexical_diversity,sentence_count,word_count,unique_word_ratio,articles_freq,a_freq,an_freq,the_freq,prepositions_freq,in_freq,on_freq,at_freq,of_freq,to_freq,with_freq,by_freq,for_freq,from_freq,about_freq,conjunctions_freq,and_freq,but_freq,or_freq,so_freq,yet_freq,nor_freq,because_freq,although_freq,since_freq,unless_freq,pronouns_freq,i_freq,you_freq,he_freq,she_freq,it_freq,we_freq,they_freq,me_freq,him_freq,her_freq,us_freq,them_freq,auxiliary_verbs_freq,am_freq,is_freq,are_freq,was_freq,were_freq,be_freq,being_freq,been_freq,have_freq,has_freq,had_freq,do_freq,does_freq,did_freq,will_freq,would_freq,shall_freq,should_freq,may_freq,might_freq,can_freq,could_freq,avg_words_per_sentence,avg_sentence_length_chars,flesch_kincaid_grade,automated_readability_index,comma_freq,period_freq,question_mark_freq,exclamation_freq,semicolon_freq,colon_freq,dash_freq,parenthesis_open_freq,parenthesis_close_freq,quote_freq,apostrophe_freq,paragraph_count,avg_paragraph_length,avg_paragraph_length_words,quote_frequency,avg_quote_length
538.0,6.04089219330855,0.7716763005780347,1,538,0.5892193308550185,0.07063197026022305,0.03345724907063197,0.0018587360594795538,0.03531598513011153,0.12639405204460966,0.013011152416356878,0.0037174721189591076,0.0055762081784386614,0.031598513011152414,0.03345724907063197,0.007434944237918215,0.007434944237918215,0.013011152416356878,0.0037174721189591076,0.007434944237918215,0.03345724907063197,0.026022304832713755,0.0018587360594795538,0.0018587360594795538,0.0018587360594795538,0.0018587360594795538,0.0,0.0,0.0,0.0,0.0,0.007434944237918215,0.0,0.0,0.0018587360594795538,0.0,0.0037174721189591076,0.0,0.0018587360594795538,0.0,0.0,0.0,0.0,0.0,0.03345724907063197,0.0,0.007434944237918215,0.0018587360594795538,0.0,0.0,0.0,0.0,0.0,0.0055762081784386614,0.0055762081784386614,0.0,0.0018587360594795538,0.0018587360594795538,0.0,0.0,0.0037174721189591076,0.0,0.0018587360594795538,0.0,0.0,0.0018587360594795538,0.0018587360594795538,538.0,3250.0,218.3563940520446,276.02260223048324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3787.0,538.0,0.0,0.0
409.0,5.4645476772616135,0.7805755395683454,1,409,0.6430317848410758,0.07334963325183375,0.019559902200488997,0.004889975550122249,0.0488997555012225,0.08068459657701711,0.022004889975550123,0.0024449877750611247,0.004889975550122249,0.017114914425427872,0.014669926650366748,0.0024449877750611247,0.0,0.017114914425427872,0.0,0.0,0.03178484107579462,0.022004889975550123,0.007334963325183374,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009779951100244499,0.0024449877750611247,0.0,0.0,0.0,0.004889975550122249,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.05378973105134474,0.0,0.007334963325183374,0.009779951100244499,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.0024449877750611247,0.007334963325183374,0.0,0.009779951100244499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.007334963325183374,409.0,2235.0,164.31755501222494,208.8080195599022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2643.0,409.0,0.0,0.0
351.0,5.245014245014245,0.852017937219731,1,351,0.6495726495726496,0.10256410256410256,0.02564102564102564,0.0,0.07692307692307693,0.11965811965811966,0.011396011396011397,0.002849002849002849,0.008547008547008548,0.04843304843304843,0.02849002849002849,0.005698005698005698,0.005698005698005698,0.002849002849002849,0.002849002849002849,0.002849002849002849,0.02564102564102564,0.014245014245014245,0.002849002849002849,0.002849002849002849,0.0,0.002849002849002849,0.0,0.0,0.0,0.002849002849002849,0.0,0.011396011396011397,0.0,0.0,0.0,0.0,0.005698005698005698,0.0,0.0,0.0,0.0,0.0,0.005698005698005698,0.0,0.05982905982905983,0.0,0.002849002849002849,0.005698005698005698,0.017094017094017096,0.014245014245014245,0.0,0.0,0.005698005698005698,0.005698005698005698,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,1841.0,141.00028490028492,178.7740170940171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2191.0,351.0,0.0,0.0
456.0,5.675438596491228,0.7830508474576271,1,456,0.618421052631579,0.07894736842105263,0.017543859649122806,0.0021929824561403508,0.05921052631578947,0.10964912280701754,0.015350877192982455,0.008771929824561403,0.006578947368421052,0.02631578947368421,0.03289473684210526,0.0043859649122807015,0.0043859649122807015,0.006578947368421052,0.0043859649122807015,0.0,0.02850877192982456,0.02412280701754386,0.0043859649122807015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0043859649122807015,0.0043859649122807015,0.0021929824561403508,0.0,0.0,0.0,0.0043859649122807015,0.0021929824561403508,0.03728070175438596,0.0,0.008771929824561403,0.0043859649122807015,0.0,0.0,0.0,0.0,0.0043859649122807015,0.0043859649122807015,0.006578947368421052,0.0021929824561403508,0.0021929824561403508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043859649122807015,456.0,2588.0,183.80570175438598,233.30131578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3043.0,456.0,0.0,0.0
317.0,5.621451104100946,0.8762376237623762,1,317,0.6750788643533123,0.0694006309148265,0.022082018927444796,0.0031545741324921135,0.04416403785488959,0.11041009463722397,0.022082018927444796,0.0,0.00946372239747634,0.03470031545741325,0.01892744479495268,0.00946372239747634,0.0031545741324921135,0.006309148264984227,0.006309148264984227,0.0,0.04416403785488959,0.028391167192429023,0.00946372239747634,0.0,0.006309148264984227,0.0,0.0,0.0,0.0,0.0,0.0,0.012618296529968454,0.0,0.0,0.006309148264984227,0.0,0.0031545741324921135,0.0031545741324921135,0.0,0.0,0.0,0.0,0.0,0.0,0.03470031545741325,0.0,0.0031545741324921135,0.00946372239747634,0.006309148264984227,0.0,0.0,0.0031545741324921135,0.0,0.0,0.012618296529968454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0,1782.0,129.25766561514197,163.54703470031546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2098.0,317.0,0.0,0.0
323.0,5.575851393188855,0.8627450980392157,1,323,0.6687306501547987,0.0804953560371517,0.02786377708978328,0.009287925696594427,0.043343653250773995,0.11145510835913312,0.030959752321981424,0.0030959752321981426,0.0,0.02786377708978328,0.03715170278637771,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0,0.043343653250773995,0.03715170278637771,0.0030959752321981426,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.030959752321981424,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.0,0.0,0.018575851393188854,0.006191950464396285,0.0,0.04024767801857585,0.0,0.006191950464396285,0.0030959752321981426,0.01238390092879257,0.006191950464396285,0.0,0.0,0.0,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,323.0,1801.0,132.2629721362229,166.3322600619195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2123.0,323.0,0.0,0.0
343.0,5.979591836734694,0.8295964125560538,1,343,0.6588921282798834,0.09037900874635568,0.029154518950437316,0.0,0.061224489795918366,0.10204081632653061,0.014577259475218658,0.008746355685131196,0.0,0.03206997084548105,0.023323615160349854,0.0029154518950437317,0.0,0.011661807580174927,0.0058309037900874635,0.0029154518950437317,0.03206997084548105,0.02040816326530612,0.0029154518950437317,0.0,0.0,0.0,0.0029154518950437317,0.0058309037900874635,0.0,0.0,0.0,0.01749271137026239,0.0,0.0,0.008746355685131196,0.0,0.0058309037900874635,0.0,0.0,0.0,0.0,0.0,0.0029154518950437317,0.0,0.03206997084548105,0.0,0.011661807580174927,0.0058309037900874635,0.0,0.0,0.0,0.0,0.0,0.0029154518950437317,0.0058309037900874635,0.0,0.0029154518950437317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029154518950437317,343.0,2051.0,141.22956268221574,178.2338775510204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2393.0,343.0,0.0,0.0
413.0,5.784503631961259,0.8327526132404182,1,413,0.6707021791767555,0.06053268765133172,0.01694915254237288,0.0,0.043583535108958835,0.09200968523002422,0.014527845036319613,0.014527845036319613,0.007263922518159807,0.012106537530266344,0.01937046004842615,0.004842615012106538,0.0,0.009685230024213076,0.007263922518159807,0.002421307506053269,0.048426150121065374,0.04600484261501211,0.0,0.002421307506053269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012106537530266344,0.0,0.0,0.0,0.0,0.004842615012106538,0.0,0.002421307506053269,0.0,0.0,0.0,0.004842615012106538,0.0,0.043583535108958835,0.0,0.002421307506053269,0.014527845036319613,0.002421307506053269,0.0,0.002421307506053269,0.0,0.0,0.007263922518159807,0.002421307506053269,0.0,0.0,0.0,0.0,0.007263922518159807,0.0,0.0,0.0,0.004842615012106538,0.0,0.0,0.0,413.0,2389.0,167.56571428571428,212.31501210653752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2801.0,413.0,0.0,0.0
417.0,6.057553956834532,0.8344827586206897,1,417,0.6762589928057554,0.08393285371702638,0.02158273381294964,0.002398081534772182,0.05995203836930456,0.09592326139088729,0.009592326139088728,0.009592326139088728,0.011990407673860911,0.02158273381294964,0.019184652278177457,0.002398081534772182,0.004796163069544364,0.011990407673860911,0.004796163069544364,0.0,0.045563549160671464,0.03836930455635491,0.0,0.004796163069544364,0.0,0.002398081534772182,0.0,0.0,0.0,0.0,0.0,0.016786570743405275,0.0,0.002398081534772182,0.0,0.0,0.002398081534772182,0.0,0.002398081534772182,0.0,0.0,0.0,0.009592326139088728,0.0,0.03597122302158273,0.0,0.007194244604316547,0.004796163069544364,0.0,0.0,0.0,0.0,0.002398081534772182,0.007194244604316547,0.002398081534772182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002398081534772182,0.002398081534772182,0.0,0.0,0.007194244604316547,417.0,2526.0,170.24383693045561,215.60107913669063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2942.0,417.0,0.0,0.0
375.0,5.589333333333333,0.8369098712446352,1,375,0.6213333333333333,0.088,0.029333333333333333,0.0026666666666666666,0.056,0.14133333333333334,0.02666666666666667,0.008,0.008,0.021333333333333333,0.050666666666666665,0.013333333333333334,0.0,0.010666666666666666,0.0026666666666666666,0.0,0.037333333333333336,0.021333333333333333,0.008,0.005333333333333333,0.0,0.0,0.0,0.0,0.0,0.0026666666666666666,0.0,0.016,0.0,0.0,0.010666666666666666,0.0026666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0026666666666666666,0.0,0.04533333333333334,0.0,0.0026666666666666666,0.0,0.010666666666666666,0.008,0.005333333333333333,0.0,0.0026666666666666666,0.0026666666666666666,0.0026666666666666666,0.005333333333333333,0.0,0.0,0.0,0.0026666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0026666666666666666,375.0,2096.0,151.61679999999998,192.39576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2470.0,375.0,0.0,0.0
382.0,5.827225130890052,0.8025210084033614,1,382,0.6178010471204188,0.07086614173228346,0.026246719160104987,0.005249343832020997,0.03937007874015748,0.09973753280839895,0.02099737532808399,0.0,0.0026246719160104987,0.026246719160104987,0.026246719160104987,0.005249343832020997,0.005249343832020997,0.010498687664041995,0.0026246719160104987,0.0,0.049868766404199474,0.03674540682414698,0.0026246719160104987,0.007874015748031496,0.0026246719160104987,0.0,0.0,0.0,0.0,0.0,0.0,0.005249343832020997,0.0,0.0,0.0,0.0,0.0,0.0026246719160104987,0.0026246719160104987,0.0,0.0,0.0,0.0,0.0,0.06299212598425197,0.0,0.007874015748031496,0.005249343832020997,0.005249343832020997,0.0026246719160104987,0.0026246719160104987,0.0,0.010498687664041995,0.013123359580052493,0.007874015748031496,0.0026246719160104987,0.0026246719160104987,0.0,0.0,0.0,0.0,0.0,0.0,0.0026246719160104987,0.0,0.0,0.0,381.0,2226.0,155.36115485564304,196.58826771653543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2606.0,381.0,0.0,0.0
387.0,5.777777777777778,0.8723404255319149,1,387,0.661498708010336,0.07235142118863049,0.023255813953488372,0.0,0.04909560723514212,0.09819121447028424,0.007751937984496124,0.00516795865633075,0.002583979328165375,0.023255813953488372,0.028423772609819122,0.007751937984496124,0.00516795865633075,0.00516795865633075,0.007751937984496124,0.00516795865633075,0.03875968992248062,0.028423772609819122,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.012919896640826873,0.0,0.0,0.002583979328165375,0.0,0.0,0.002583979328165375,0.0,0.0,0.002583979328165375,0.0,0.002583979328165375,0.002583979328165375,0.04392764857881137,0.0,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.0,0.002583979328165375,0.0,0.002583979328165375,0.007751937984496124,0.00516795865633075,0.0,0.0,0.00516795865633075,0.0,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,387.0,2236.0,157.08005167958657,199.28333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2622.0,387.0,0.0,0.0
347.0,5.406340057636887,0.8523809523809524,1,347,0.6570605187319885,0.04899135446685879,0.020172910662824207,0.005763688760806916,0.023054755043227664,0.12680115273775217,0.03170028818443804,0.011527377521613832,0.005763688760806916,0.020172910662824207,0.023054755043227664,0.008645533141210375,0.002881844380403458,0.008645533141210375,0.005763688760806916,0.008645533141210375,0.03170028818443804,0.020172910662824207,0.005763688760806916,0.005763688760806916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020172910662824207,0.0,0.0,0.008645533141210375,0.0,0.0,0.0,0.002881844380403458,0.0,0.002881844380403458,0.0,0.005763688760806916,0.0,0.06628242074927954,0.0,0.008645533141210375,0.008645533141210375,0.005763688760806916,0.0,0.002881844380403458,0.008645533141210375,0.005763688760806916,0.008645533141210375,0.011527377521613832,0.005763688760806916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0,1876.0,140.82357348703172,177.53386167146974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2222.0,347.0,0.0,0.0
381.0,5.698162729658793,0.8504273504273504,1,381,0.6272965879265092,0.10498687664041995,0.04461942257217848,0.005249343832020997,0.05511811023622047,0.11286089238845144,0.023622047244094488,0.0,0.005249343832020997,0.03937007874015748,0.023622047244094488,0.0026246719160104987,0.005249343832020997,0.007874015748031496,0.005249343832020997,0.0,0.031496062992125984,0.028871391076115485,0.0026246719160104987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026246719160104987,0.0026246719160104987,0.0,0.005249343832020997,0.0,0.005249343832020997,0.007874015748031496,0.0026246719160104987,0.0,0.0,0.0,0.0026246719160104987,0.0,0.03937007874015748,0.0,0.0,0.007874015748031496,0.010498687664041995,0.0,0.0,0.0,0.0,0.007874015748031496,0.007874015748031496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026246719160104987,0.0,0.0026246719160104987,0.0,381.0,2171.0,156.13543307086613,195.9083464566929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2551.0,381.0,0.0,0.0
354.0,5.932203389830509,0.8487394957983193,1,354,0.6807909604519774,0.07344632768361582,0.031073446327683617,0.005649717514124294,0.03672316384180791,0.096045197740113,0.025423728813559324,0.00847457627118644,0.005649717514124294,0.014124293785310734,0.025423728813559324,0.002824858757062147,0.0,0.002824858757062147,0.005649717514124294,0.005649717514124294,0.0480225988700565,0.03672316384180791,0.005649717514124294,0.005649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011299435028248588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011299435028248588,0.0,0.031073446327683617,0.0,0.005649717514124294,0.0,0.005649717514124294,0.0,0.0,0.0,0.002824858757062147,0.002824858757062147,0.005649717514124294,0.0,0.0,0.0,0.0,0.005649717514124294,0.0,0.0,0.0,0.002824858757062147,0.0,0.0,0.0,354.0,2100.0,145.60333333333332,183.5106779661017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2453.0,354.0,0.0,0.0
433.0,5.905311778290993,0.8542372881355932,1,433,0.6720554272517321,0.09006928406466513,0.03233256351039261,0.0,0.057736720554272515,0.10161662817551963,0.006928406466512702,0.004618937644341801,0.0023094688221709007,0.02771362586605081,0.025404157043879907,0.009237875288683603,0.006928406466512702,0.011547344110854504,0.004618937644341801,0.0023094688221709007,0.03002309468822171,0.02771362586605081,0.0023094688221709007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018475750577367205,0.0,0.0,0.0,0.0,0.0023094688221709007,0.004618937644341801,0.0023094688221709007,0.0,0.0,0.0,0.009237875288683603,0.0,0.03926096997690531,0.0,0.013856812933025405,0.0023094688221709007,0.0,0.0,0.0023094688221709007,0.0023094688221709007,0.0,0.006928406466512702,0.006928406466512702,0.0,0.0,0.0,0.0,0.0023094688221709007,0.0,0.0,0.0,0.0,0.0,0.0,0.0023094688221709007,433.0,2557.0,176.5802309468822,222.88401847575057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2989.0,433.0,0.0,0.0
457.0,5.982494529540482,0.803921568627451,1,457,0.6301969365426696,0.05689277899343545,0.019693654266958426,0.0,0.037199124726477024,0.09190371991247265,0.010940919037199124,0.002188183807439825,0.0,0.015317286652078774,0.02188183807439825,0.006564551422319475,0.010940919037199124,0.019693654266958426,0.002188183807439825,0.002188183807439825,0.05470459518599562,0.03282275711159737,0.006564551422319475,0.010940919037199124,0.002188183807439825,0.0,0.0,0.0,0.0,0.002188183807439825,0.0,0.01312910284463895,0.0,0.0,0.0,0.0,0.0,0.002188183807439825,0.00437636761487965,0.0,0.002188183807439825,0.0,0.00437636761487965,0.0,0.06345733041575492,0.0,0.010940919037199124,0.006564551422319475,0.002188183807439825,0.002188183807439825,0.0,0.0,0.010940919037199124,0.0175054704595186,0.0087527352297593,0.002188183807439825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002188183807439825,457.0,2734.0,185.5170240700219,235.24754923413565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3190.0,457.0,0.0,0.0
415.0,6.2,0.7857142857142857,1,415,0.6457831325301204,0.060240963855421686,0.024096385542168676,0.0,0.03614457831325301,0.09397590361445783,0.01927710843373494,0.004819277108433735,0.004819277108433735,0.014457831325301205,0.01927710843373494,0.00963855421686747,0.004819277108433735,0.014457831325301205,0.0024096385542168677,0.0,0.04096385542168675,0.03855421686746988,0.0,0.0024096385542168677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007228915662650603,0.0,0.0,0.0,0.0,0.0,0.004819277108433735,0.0,0.0,0.0,0.0,0.0024096385542168677,0.0,0.024096385542168676,0.0,0.007228915662650603,0.004819277108433735,0.0024096385542168677,0.0,0.0,0.0,0.0,0.0024096385542168677,0.0024096385542168677,0.0,0.0,0.0,0.0,0.0024096385542168677,0.0,0.0,0.0,0.0,0.0,0.0024096385542168677,0.0,415.0,2573.0,169.49036144578312,215.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2987.0,415.0,0.0,0.0
